Name,Description,Parameters
General,Category Header (not a function),
ActivatorRefresh,Refresh all activator device lights and controls,None
CallManagerShowHide,,None
KeyPress,,Value = Key Value
SendKeys,Send keys to active window,Value = Keys Value
SetDynamicValue1,Set Dynamic Value to use when specifying Dynamic1 as a shortcut value.,Value = Value Value
SetDynamicValue2,Set Dynamic Value to use when specifying Dynamic2 as a shortcut value.,Value = Value Value
SetDynamicValue3,Set Dynamic Value to use when specifying Dynamic3 as a shortcut value.,Value = Value Value
SetDynamicValue4,Set Dynamic Value to use when specifying Dynamic4 as a shortcut value.,Value = Value Value
Audio,Category Header (not a function),
Audio,Toggle Audio Mute On/Off,Input
AudioAuto,,Input
AudioAutoOff,,Input
AudioAutoOn,,Input
AudioBus,"M,A,B,C,D,E,F,G","Value = Bus Value,Input"
AudioBusOff,"M,A,B,C,D,E,F,G","Value = Bus Value,Input"
AudioBusOn,"M,A,B,C,D,E,F,G","Value = Bus Value,Input"
AudioChannelMatrixApplyPreset,Apply preset to channel matrix,"Value = Preset Name Value,Input"
AudioMixerShowHide,,None
AudioOff,,Input
AudioOn,,Input
AudioPluginOff,"Turn off Audio Plugin, starting from 1","Value = Plugin Number Value,Input"
AudioPluginOn,"Turn on Audio Plugin, starting from 1","Value = Plugin Number Value,Input"
AudioPluginOnOff,"Toggle on/off Audio Plugin, starting from 1","Value = Plugin Number Value,Input"
AudioPluginShow,"Show Audio Plugin Editor, starting from 1","Value = Plugin Number Value,Input"
BusAAudio,,None
BusAAudioOff,,None
BusAAudioOn,,None
BusAAudioPluginOff,"Turn off Audio Plugin, starting from 1",Value = Plugin Number Value
BusAAudioPluginOn,"Turn on Audio Plugin, starting from 1",Value = Plugin Number Value
BusAAudioPluginOnOff,"Toggle on/off Audio Plugin, starting from 1",Value = Plugin Number Value
BusAAudioPluginShow,"Show Audio Plugin Editor, starting from 1",Value = Plugin Number Value
BusBAudio,,None
BusBAudioOff,,None
BusBAudioOn,,None
BusBAudioPluginOff,"Turn off Audio Plugin, starting from 1",Value = Plugin Number Value
BusBAudioPluginOn,"Turn on Audio Plugin, starting from 1",Value = Plugin Number Value
BusBAudioPluginOnOff,"Toggle on/off Audio Plugin, starting from 1",Value = Plugin Number Value
BusBAudioPluginShow,"Show Audio Plugin Editor, starting from 1",Value = Plugin Number Value
BusXAudio,"M,A,B,C,D,E,F,G",Value = Bus Value
BusXAudioOff,"M,A,B,C,D,E,F,G",Value = Bus Value
BusXAudioOn,"M,A,B,C,D,E,F,G",Value = Bus Value
BusXAudioPluginOff,"Turn off Audio Plugin, starting from 1","Value = Bus,PluginNumber Value"
BusXAudioPluginOn,"Turn on Audio Plugin, starting from 1","Value = Bus,PluginNumber Value"
BusXAudioPluginOnOff,"Toggle on/off Audio Plugin, starting from 1","Value = Bus,PluginNumber Value"
BusXAudioPluginShow,"Show Audio Plugin Editor, starting from 1","Value = Bus,PluginNumber Value"
BusXSendToMaster,"M,A,B,C,D,E,F,G",Value = Bus Value
BusXSendToMasterOff,"M,A,B,C,D,E,F,G",Value = Bus Value
BusXSendToMasterOn,"M,A,B,C,D,E,F,G",Value = Bus Value
BusXSolo,"M,A,B,C,D,E,F,G",Value = Bus Value
BusXSoloOff,"M,A,B,C,D,E,F,G",Value = Bus Value
BusXSoloOn,"M,A,B,C,D,E,F,G",Value = Bus Value
MasterAudio,,None
MasterAudioOff,,None
MasterAudioOn,,None
MasterAudioPluginOff,"Turn off Audio Plugin, starting from 1",Value = Plugin Number Value
MasterAudioPluginOn,"Turn on Audio Plugin, starting from 1",Value = Plugin Number Value
MasterAudioPluginOnOff,"Toggle on/off Audio Plugin, starting from 1",Value = Plugin Number Value
MasterAudioPluginShow,"Show Audio Plugin Editor, starting from 1",Value = Plugin Number Value
SetBalance,Value = Balance -1-1,"Value,Input"
SetBusAVolume,Value = Volume 0-100,Value
SetBusBVolume,Value = Volume 0-100,Value
SetBusCVolume,Value = Volume 0-100,Value
SetBusDVolume,Value = Volume 0-100,Value
SetBusEVolume,Value = Volume 0-100,Value
SetBusFVolume,Value = Volume 0-100,Value
SetBusGVolume,Value = Volume 0-100,Value
SetGain,Value = Gain dB 0-24,"Value,Input"
SetGainChannel1,Value = Gain dB 0-24,"Value,Input"
SetGainChannel2,Value = Gain dB 0-24,"Value,Input"
SetHeadphonesVolume,Value = Volume 0-100,Value
SetMasterVolume,Value = Volume 0-100,Value
SetVolume,Value = Volume 0-100,"Value,Input"
SetVolumeChannel1,"When using SeparateMono on an Audio Input, this can be used to set channel volumes independently.","Value = Volume 0-100 Value,Input"
SetVolumeChannel2,"When using SeparateMono on an Audio Input, this can be used to set channel volumes independently.","Value = Volume 0-100 Value,Input"
SetVolumeChannelMixer,Set Volume of an Input's sub channel (1 to 16),"Value = Channel,Volume 0-100 Value,Input"
SetVolumeFade,Set volume gradually over x milliseconds.,"Value = Volume 0-100,Milliseconds Value,Input"
Solo,,Input
SoloOff,,Input
SoloOn,,Input
Transition,Category Header (not a function),
CutDirect,Cuts the input directly to Output without changing Preview,Input
FadeToBlack,Toggle FTB On/Off,None
QuickPlay,,Input
SetFader,"Set Master Fader T-Bar, 255 will cut to Preview",Value = Fader 0-255 Value
SetTransitionDuration1,Change Transition Duration for Button 1,Value = Duration MS Value
SetTransitionDuration2,Change Transition Duration for Button 2,Value = Duration MS Value
SetTransitionDuration3,Change Transition Duration for Button 3,Value = Duration MS Value
SetTransitionDuration4,Change Transition Duration for Button 4,Value = Duration MS Value
SetTransitionEffect1,Change Transition for Button 1,Value = Transition Value
SetTransitionEffect2,Change Transition for Button 2,Value = Transition Value
SetTransitionEffect3,Change Transition for Button 3,Value = Transition Value
SetTransitionEffect4,Change Transition for Button 4,Value = Transition Value
Stinger1,,Input
Stinger2,,Input
Stinger3,,Input
Stinger4,,Input
Transition1,Clicks one of the four Transition buttons in the main vMix window.,None
Transition2,,None
Transition3,,None
Transition4,,None
Output,Category Header (not a function),
Fullscreen,Toggles Fullscreen On or Off,None
FullscreenOff,,None
FullscreenOn,,None
SetOutput2,Change what is displayed on Output 2.,"Output,Preview,MultiView,Input Value = Output, Preview, MultiView, Input Value,Input"
SetOutput3,Change what is displayed on Output 3.,"Output,Preview,MultiView,Input Value = Output, Preview, MultiView, Input Value,Input"
SetOutput4,Change what is displayed on Output 4.,"Output,Preview,MultiView,Input Value = Output, Preview, MultiView, Input Value,Input"
SetOutputExternal2,Change what is displayed on the External2 output.,"Output,Preview,MultiView,Input Value = Output, Preview, MultiView, Input Value,Input"
SetOutputFullscreen,Change what is displayed on the Fullscreen output.,"Output,Preview,MultiView,Input Value = Output, Preview, MultiView, Input Value,Input"
SetOutputFullscreen2,Change what is displayed on the Fullscreen2 output.,"Output,Preview,MultiView,Input Value = Output, Preview, MultiView, Input Value,Input"
Snapshot,"Create a snapshot image of the current Output. Optional Value specifies save Filename, otherwise a save file window will appear. Filename can specify date, for example mysnapshot {0:dd MMM yyyy}.jpg",Value = Value Value
SnapshotInput,"Create a snapshot image of the selected Input. Optional Value specifies save Filename, otherwise a save file window will appear. Filename can specify date, for example mysnapshot {0:dd MMM yyyy}.jpg","Value = Value Value,Input"
StartExternal,,None
StartMultiCorder,,None
StartRecording,,None
StartSRTOutput,Optional output number starting from 0. Leave blank to control Output 1 only.,Value = Output Value
StartStopExternal,,None
StartStopMultiCorder,,None
StartStopRecording,,None
